magnitude,state,country,longitude,latitude,year
4.1,AK,US,171.244,51.6747,2017
5.5,,Chile,-74.5017,-43.3527,2017
2.07,HI,US,-155.2738333,19.049,2017
6.9,,Fiji,176.0518,-19.3733,2017
5.7,,Fiji,175.9532,-19.3977,2017
4.2,,Bulgaria,25.8179,43.1472,2017
4.6,,Fiji,176.2844,-18.9122,2017
4.7,,Fiji,176.2572,-19.2817,2017
4.8,,Fiji,176.3256,-19.2048,2017
2.02,CA,US,-115.635,33.1271667,2017
4.4,,Fiji,176.1338,-19.2939,2017
4.7,,Fiji,176.0139,-19.3896,2017
4.9,,Fiji,176.424,-18.9905,2017
6,,Fiji,176.1875,-19.1207,2017
5,,Fiji,176.4274,-18.9906,2017
4.8,,south of the Fiji Islands,176.1547,-19.3169,2017
5.3,,Fiji,176.2009,-19.2254,2017
4.6,,Fiji,176.2308,-19.079,2017
3.2,AK,US,-152.6107,64.5822,2017
4.3,,Fiji,176.1042,-18.7419,2017
4.5,,Fiji,176.0234,-19.1458,2017
5.5,,Fiji,176.2872,-18.9749,2017
2.5,,Puerto Rico region,-65.3572,17.996,2017
4.9,,Fiji,176.111,-19.2366,2017
4.4,,Papua New Guinea,154.0278,-6.0857,2017
4.2,,Fiji region,-177.6263,-18.3137,2017
5.1,,Fiji,176.3234,-19.1821,2017
5,,Fiji,176.1874,-19.4191,2017
5,,Fiji,176.343,-19.0006,2017
4.5,,Fiji,176.2764,-19.3691,2017
4.6,,Fiji,176.4454,-19.1898,2017
4.7,,southeast of Easter Island,-91.7027,-41.0597,2017
5.4,,Fiji,176.3246,-18.9157,2017
2.2,AK,US,-153.6585,59.2558,2017
4.8,,Fiji,176.1419,-19.4438,2017
2.1,AK,US,-145.061,60.4804,2017
4.3,,Fiji,175.9871,-19.2637,2017
2.9,,Puerto Rico,-65.4024,18.0312,2017
4.6,,China,82.5284,41.932,2017
5.6,,Vanuatu,167.1235,-17.8694,2017
4.5,,Fiji,176.3159,-19.1665,2017
4.2,,Afghanistan,70.8618,36.6388,2017
2.8,AK,US,-173.4299,51.3084,2017
2.8,AK,US,-173.4292,51.2725,2017
2.3,AK,US,-137.6034,58.0166,2017
2.9,AK,US,-161.8206,53.9056,2017
4,,Russia,167.5539,61.4815,2017
4.9,,Fiji,176.1898,-19.2354,2017
4.3,,south of the Fiji Islands,179.7404,-23.8134,2017
2.58,CA,US,-117.1641667,34.3373333,2017
4.8,,Indonesia,113.4321,-11.5752,2017
4.4,,Fiji,175.9234,-18.8709,2017
5.1,,Papua New Guinea,153.6675,-6.0218,2017
5.3,,Fiji,176.1961,-19.2702,2017
5.3,,Fiji,176.354,-18.9881,2017
5.3,,Fiji,175.9988,-19.1318,2017
2.4,OK,US,-97.3121,35.8664,2017
2.1,AK,US,-165.2009,53.8602,2017
2.1,AK,US,-177.687,51.2513,2017
5.3,,Fiji,176.0528,-19.3856,2017
2.6,OK,US,-97.5023,36.2847,2017
2.52,CA,US,-116.8363333,34.9825,2017
4.5,,south of the Fiji Islands,179.7271,-24.3219,2017
3.03,CA,US,-116.0645,33.0683333,2017
4.4,,Taiwan,121.8281,24.014,2017
2.15,HI,US,-155.3325,19.18133333,2017
2.8,NV,US,-118.8862,38.3871,2017
3,,Aleutian Islands,178.4959,51.8187,2017
4.1,,New Zealand,176.3231,-40.7475,2017
2.2,AK,US,-152.9626,59.003,2017
4.3,,Molucca Sea,126.5359,0.7852,2017
2.03,HI,US,-155.511,19.9168333,2017
2.3,AK,US,-157.8293,66.9384,2017
2.01,CA,US,-122.7243333,38.7563333,2017
4.4,,Vanuatu,167.1169,-12.1123,2017
4.7,,Banda Sea,130.0683,-6.3567,2017
2.4,AK,US,-163.6015,53.2665,2017
4.5,,Solomon Islands,161.5161,-10.8027,2017
2.4,NV,US,-118.9001,38.4231,2017
2.9,AK,US,-162.422,54.1046,2017
3.4,,Aleutian Islands,178.1455,52.1209,2017
4.2,,Myanmar,96.0688,22.8948,2017
2.2,AK,US,-156.3084,57.837,2017
2.5,AK,US,-153.3653,59.8783,2017
4.9,,Chile,-71.5346,-30.2832,2017
2.3,,Central Alaska,-147.4159,63.5656,2017
4.4,,Solomon Islands,161.3412,-10.5977,2017
4.7,,China,83.7309,30.4946,2017
4.2,AK,US,-153.3835,60.0889,2017
4.6,,Myanmar,94.7422,22.9682,2017
5.1,,Fiji,176.2368,-19.1825,2017
2.1,AK,US,-147.1714,60.8797,2017
4.5,,Fiji,-178.5371,-17.8486,2017
4.6,,Indian Ocean Triple Junction,65.2127,-27.733,2017
4.7,,China,102.2706,29.7448,2017
4.2,,Fiji,176.054,-18.9121,2017
3.2,AK,US,-161.2034,55.9814,2017
5.2,,Japan,140.9426,36.902,2017
4.1,,Argentina,-66.9862,-23.8881,2017
4.7,,Solomon Islands,161.3767,-10.4609,2017
4.5,,Tonga,-173.2326,-18.6576,2017
5,,El Salvador,-89.3635,13.1006,2017
2.2,,Puerto Rico,-66.3645,18.047,2017
4.4,,Japan,141.3679,37.1886,2017
5.3,,Japan,141.3125,37.1515,2017
2.26,CA,US,-124.3055,40.4288333,2017
2.4,AK,US,-173.8779,52.1074,2017
2.1,AK,US,-150.9323,57.2226,2017
4.4,,Philippines,122.896,4.4845,2017
2.6,AK,US,-170.031,52.3562,2017
4.3,,south of the Fiji Islands,179.8527,-25.6877,2017
2.4,AK,US,-162.8925,53.6,2017
5.7,,Fiji,176.2567,-18.7942,2017
5.2,,Solomon Islands,161.4025,-10.4803,2017
2.4,AK,US,-151.563,61.0984,2017
2.2,NV,US,-118.7559,38.2934,2017
2.42,HI,US,-155.7635,20.5868333,2017
2.4,AK,US,-161.623,55.6456,2017
2.09,CA,US,-118.9286667,37.6333333,2017
2.7,OK,US,-97.4681,35.7814,2017
4.3,,Russia,159.6304,52.2422,2017
4.5,,Southwest Indian Ridge,60.5867,-30.0361,2017
4.6,,Vanuatu,167.3659,-14.8619,2017
4.6,,Fiji,176.0471,-19.1282,2017
2.2,AK,US,-161.6432,55.6227,2017
4.3,,Chile,-69.453,-27.4844,2017
4.6,,Indonesia,127.9394,3.3535,2017
2.25,CA,US,-123.2845,40.953,2017
2.9,AK,US,-161.6624,55.63,2017
2.09,CA,US,-116.2235,33.888,2017
3.1,OK,US,-97.3995,35.6703,2017
3,,Puerto Rico,-67.568,18.742,2017
5.3,,southern Mid-Atlantic Ridge,-12.6473,-22.5968,2017
2.6,OK,US,-98.0562,36.6171,2017
3.8,,Dominican Republic,-68.9172,18.381,2017
2.8,OK,US,-96.9991,36.2444,2017
2.31,HI,US,-155.2605,19.4056667,2017
4.2,,Fiji,176.1562,-19.2928,2017
2.6,NV,US,-118.8889,38.3697,2017
2.6,AK,US,-152.9986,59.8257,2017
2.7,AK,US,-173.0423,51.2793,2017
4.5,,Indonesia,128.7362,3.9692,2017
4.7,,Philippines,122.6846,3.6256,2017
2.3,AK,US,-153.4477,57.8909,2017
2.02,HI,US,-155.5405,18.9006667,2017
4.6,,Tajikistan,71.4964,37.4495,2017
2.5,AK,US,-165.2186,53.9119,2017
3,AK,US,-162.7049,54.767,2017
2.7,,northern Alaska,-144.7575,69.1371,2017
2.71,HI,US,-156.0651667,19.7696667,2017
2.2,AK,US,-168.1555,52.5122,2017
2.22,,Northern California,-122.7585,38.7955,2017
4,,New Zealand,173.6322,-42.3209,2017
4.9,,Japan,128.7038,26.0058,2017
2.1,AK,US,-150.7453,62.2852,2017
5.4,,New Zealand,174.0614,-41.8341,2017
4,,Chile,-69.8369,-18.3961,2017
2.4,AK,US,-149.6363,62.832,2017
2.23,HI,US,-155.6215,20.3446667,2017
4.9,,Fiji,176.1048,-19.1707,2017
4.4,,Greece,26.8017,36.4352,2017
4.5,,Tonga,-173.4973,-15.0568,2017
2.37,CA,US,-122.6216667,40.067,2017
4.2,,Indonesia,102.0506,-4.9637,2017
4.1,,Chile,-70.3028,-22.0533,2017
4.1,,Chile,-70.7514,-22.3653,2017
4.4,,south of the Fiji Islands,-179.1691,-22.4439,2017
4.6,,Japan,142.3334,38.6598,2017
2.9,,Dominican Republic,-68.1997,18.8206,2017
4.3,,Indonesia,119.3023,-10.3564,2017
2.2,AK,US,-152.9468,60.1648,2017
3.3,WY,US,-105.2397,43.8434,2017
3.2,NV,US,-118.8978,38.4218,2017
3.3,,off the coast of Oregon,-129.1934,43.9457,2017
2.38,CA,US,-118.6548333,37.1576667,2017
2.37,CA,US,-116.0366667,33.1776667,2017
4.6,,southern Mid-Atlantic Ridge,-2.0627,-54.1126,2017
4.4,,Indonesia,94.8709,7.2571,2017
3.4,WY,US,-105.3378,43.7525,2017
2.4,,Puerto Rico,-67.2547,18.162,2017
2.4,AK,US,-169.3589,52.3935,2017
4.2,,Northern Mariana Islands,145.634,17.683,2017
2.1,AK,US,-166.7441,52.8651,2017
4,,Fiji,176.4303,-19.3387,2017
4.8,,Fiji,176.3079,-19.1152,2017
2.3,AK,US,-157.9959,59.0457,2017
2.8,CA,US,-118.8954,38.3401,2017
4.6,,Papua New Guinea,153.0943,-5.7124,2017
2.2,,Puerto Rico,-67.3945,18.1585,2017
2.8,AK,US,-162.5958,54.2138,2017
2.3,AK,US,-164.1282,53.8491,2017
5,,Iran,53.1071,28.1998,2017
2.45,CA,US,-118.4181667,35.4818333,2017
2.12,CA,US,-118.9298333,37.6346667,2017
2.9,NV,US,-118.8878,38.3846,2017
3,WY,US,-108.7881,43.6625,2017
2.77,CA,US,-121.675,41.135,2017
4.3,,China,82.5737,41.9945,2017
2.7,,Puerto Rico,-67.2279,18.829,2017
2.3,AK,US,-152.3911,59.6407,2017
4.8,,Indonesia,101.4996,-2.8283,2017
5.8,,Chile,-67.795,-22.3176,2017
2.9,,B.C.,-115.2461667,32.3971667,2017
3.22,,B.C.,-115.2711667,32.3835,2017
3.33,,B.C.,-115.2538333,32.4018333,2017
2.4,,Puerto Rico,-67.0199,18.1212,2017
4.3,,New Zealand,174.3325,-41.6848,2017
3.2,OR,US,-126.7382,42.4439,2017
4.7,,Japan,130.4252,29.1453,2017
5.1,,Indonesia,98.1363,1.5272,2017
4.8,,Indonesia,128.5404,3.7227,2017
4.8,,Indonesia,98.0653,1.4191,2017
4.4,,Fiji,176.6747,-16.8175,2017
4.3,,Indonesia,123.3965,-0.0283,2017
2.9,AK,US,-153.0226,60.0081,2017
4.2,,off the coast of Oregon,-129.1571,43.968,2017
4.6,,Tonga,-175.7157,-19.3552,2017
4.2,,Indonesia,126.9067,-1.1107,2017
2.1,AK,US,-137.5903,58.5672,2017
4.6,,Philippines,125.9423,6.5022,2017
2.33,HI,US,-155.3005066,19.4186668,2017
4,,New Zealand,-178.4247,-30.8019,2017
4.4,,Papua New Guinea,154.6223,-5.8588,2017
2.2,NV,US,-118.9244,38.4021,2017
2.09,HI,US,-155.2754974,19.4098339,2017
5.3,,Canada,-130.0753,50.1607,2017
3.1,,U.S. Virgin Islands,-64.453,19.0585,2017
3.1,AK,US,-150.8773,62.022,2017
2.1,CA,US,-121.7598333,37.4096667,2017
2.16,HI,US,-155.1588333,18.816,2017
3,NV,US,-118.9005,38.4232,2017
3.9,,Canada,-129.8836,50.3901,2017
4.9,,New Zealand,177.6819,-37.8907,2017
4.6,,Canada,-129.8802,50.2529,2017
4.7,,Mariana Islands region,144.894,21.4138,2017
2.7,CA,US,-126.2479,40.489,2017
2.2,AK,US,-164.0295,53.9373,2017
4.2,,Papua New Guinea,154.2814,-5.7357,2017
2.2,AK,US,-166.8143,52.7582,2017
2.3,AK,US,-151.939,61.6455,2017
4.7,,Fiji region,-177.6829,-18.4574,2017
4.7,,south of the Fiji Islands,-179.9523,-24.7693,2017
4.2,,Surigao del Norte,125.8918,9.9174,2017
2.35,UT,US,-112.5335,38.7,2017
4.9,,southern Mid-Atlantic Ridge,-13.4097,-17.9187,2017
4.6,,Solomon Islands,162.9919,-11.1013,2017
4.1,,Indonesia,123.645,0.5942,2017
4.4,,Canada,-129.7803,50.2805,2017
2.5,AK,US,-169.4838,51.8896,2017
2.1,AK,US,-178.077,51.5745,2017
4.3,,Solomon Islands,162.0302,-11.0785,2017
2.08,,Canada,-120.5563333,49.4583333,2017
2.2,AK,US,-163.5995,54.333,2017
4,,Solomon Islands,161.6218,-11.3408,2017
2.2,AK,US,-153.0593,59.8323,2017
4,,Indonesia,139.4883,-2.5452,2017
4.4,,Papua New Guinea,153.7934,-5.4375,2017
5.1,,Peru,-78.193,-11.3197,2017
4.1,,Chile,-74.1873,-43.2739,2017
4.5,,Tonga,-174.0331,-15.303,2017
4.6,,Tonga,-174.0532,-15.1821,2017
2.8,OK,US,-97.3132,35.8665,2017
2.3,,Alaska Peninsula,-154.8283,58.3106,2017
2.4,,Canada,-134.9706,65.9579,2017
4.1,,Fiji region,-177.7944,-18.0903,2017
2.5,OK,US,-98.7901,36.4505,2017
4.2,,Chile,-69.635,-29.0115,2017
4.2,,New Zealand,173.4498,-42.6652,2017
2.04,CA,US,-121.6736667,37.2985,2017
4.8,,Philippines,126.5902,5.6588,2017
3,,Puerto Rico,-66.1333,19.1606,2017
4.6,,Vanuatu,167.2066,-13.2738,2017
4.2,,Canada,-129.9196,50.5164,2017
5.4,,Canada,-130.1516,50.2065,2017
4.8,,Canada,-130.2458,50.0673,2017
4.6,,Canada,-130.1366,50.0125,2017
2.9,CA,US,-118.2282,37.9929,2017
2.6,AK,US,-156.6551,55.7984,2017
4.7,,Indonesia,103.8547,-6.358,2017
4.3,,Bolivia,-66.9005,-21.5978,2017
4.5,,Northern Mariana Islands,145.6321,18.6522,2017
2.2,AK,US,-164.2429,54.4666,2017
2.2,KS,US,-97.794,37.114,2017
4.5,,Argentina,-67.3701,-28.8177,2017
2.7,,Puerto Rico,-65.7957,17.9797,2017
4.5,,New Zealand,179.061,-37.2955,2017
2.5,KS,US,-97.942,37.054,2017
2.5,AK,US,-168.1155,51.621,2017
4.7,,Mexico,-98.7018,16.2096,2017
4.6,,Canada,-130.1524,50.08,2017
4.6,,Mid-Indian Ridge,66.8168,-10.7175,2017
2.2,AK,US,-169.1046,52.8735,2017
4.2,,Mexico,-93.2021,14.4296,2017
4.5,,New Zealand,173.9407,-42.4458,2017
2.6,,Puerto Rico,-66.1286,19.1487,2017
4.5,,Kyrgyzstan,73.4065,39.4928,2017
